serial_no,town_village,toponym_en,nechropoleis_tombs,chronology,average_points,x,y,agriculture_100m,archaeological_100m,infrastructure_100m,urban_100m,not_classified_100m,Points_100m,agriculture_250m,archaeological_250m,infrastructure_250m,urban_250m,not_classified_250m,Points_250m,agriculture_500m,archaeological_500m,infrastructure_500m,urban_500m,not_classified_500m,Points_500m
466,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
467,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
468,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
469,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
470,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
471,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
472,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
473,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
474,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
475,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
476,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
477,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
478,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
479,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
480,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
481,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
482,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
483,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
484,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
